Unnamed: 0,0.0,0.0166666666666666,0.0.1,0.0.2,2.8833333333333333,8.0,2,26.96666666666667,5:0,13:0,0.0.3,0.0.4,0.0.5,0.0.6,2.1,Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
,,,,,,,,,,,,,,,,2023年03月31日 02:34:15,3.0,5.0,0.0,0.0,-7.566666666666666,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.5666666666666664
,,,,,,,,,,,,,,,,2023年03月31日 02:35:18,3.0,5.0,0.0,0.0,-7.583333333333334,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.583333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:35:37,3.0,5.0,0.0,0.0,-7.583333333333334,-3.0,1.0,24.96666666666667,3:0,0:0,0.0,0.0,0.0,0.0,2.583333333333333
,,,,,,,,,,,,,,,,2023年03月31日 02:51:48,1.0,2.8166666666666664,1.0166666666666666,1.0,1.316666666666667,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:49,1.0,2.833333333333333,1.0166666666666666,1.0,1.3000000000000005,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:49,1.0,2.8833333333333333,1.0166666666666666,1.0,1.2500000000000004,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:49,1.0,2.9166666666666665,1.0166666666666666,1.0,1.2166666666666672,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:50,1.0,2.9333333333333336,1.0166666666666666,1.0,1.2000000000000002,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:50,1.0,2.95,1.0166666666666666,1.0,1.1833333333333336,8.0,1.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,0.0,0.0,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2023年03月31日 02:51:50,1.0,2.033333333333333,1.0166666666666666,1.0,2.1000000000000005,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:51,1.0,2.0166666666666666,1.0166666666666666,1.0,2.116666666666667,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:51,1.0,2.066666666666667,1.0166666666666666,1.0,2.066666666666668,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
,,,,,,,,,,,,,,,,2023年03月31日 02:51:51,1.0,2.083333333333333,1.0166666666666666,1.0,2.05,8.0,3.0,31.96666666666667,10:0,18:0,0.0,0.0,0.0,0.0,2.85
